Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/29/2022,12/30/2022,SQ *DIMASSI?S WEBSTER,Food & Drink,Sale,-17.31,
12/28/2022,12/30/2022,CHICK-FIL-A #03274,Food & Drink,Sale,-12.10,
12/28/2022,12/29/2022,SQ *LO-FI VINTAGE/MODERN,Shopping,Sale,-30.31,
12/28/2022,12/29/2022,KOMEYA RAMEN AND SUSHI,Food & Drink,Sale,-22.07,
12/28/2022,12/29/2022,NORDSTROM RACK #741,Shopping,Sale,-59.51,
12/27/2022,12/29/2022,GOL AIR     1277909596733,Travel,Sale,-415.30,
12/28/2022,12/29/2022,PAVEMENT - HOUSTON,Shopping,Sale,-18.35,
12/28/2022,12/29/2022,TST* Goode Company BBQ -,Food & Drink,Sale,-20.04,
12/27/2022,12/28/2022,Subway 64335,Food & Drink,Sale,-11.83,
12/27/2022,12/28/2022,THAI STELLAR FOOD,Food & Drink,Sale,-15.14,
12/27/2022,12/27/2022,AMZN Mktp US*848MN45G3,Shopping,Sale,-29.22,
12/24/2022,12/25/2022,DILLARDS 779 BAYBROOK,Shopping,Sale,-102.25,
12/23/2022,12/25/2022,AMZN Mktp US*P592Q17J3,Shopping,Sale,-43.29,
12/24/2022,12/25/2022,EXPRESS#0259,Shopping,Sale,-36.16,
12/24/2022,12/25/2022,NORDSTROM RACK #0721,Shopping,Sale,-30.25,
12/23/2022,12/25/2022,SQ *GARAGE SALE VINTAGE,Shopping,Sale,-35.94,
12/22/2022,12/23/2022,KIDZ CABIN,Shopping,Sale,-28.28,
12/19/2022,12/21/2022,SUMMIT HSE CAFE,Food & Drink,Sale,-24.45,
12/17/2022,12/19/2022,PRIMARK DWNTWN CROSSING,Shopping,Sale,-72.13,
12/17/2022,12/19/2022,INSOMNIA COOKIES- DOWN,Shopping,Sale,-2.94,
12/18/2022,12/19/2022,TSURUTONTAN  UPNGO.COM,Food & Drink,Sale,-99.75,
12/16/2022,12/18/2022,LOON MOUNTAIN,Entertainment,Sale,-50.00,
12/15/2022,12/18/2022,BAMBARA,Food & Drink,Sale,-16.98,
12/15/2022,12/18/2022,BAMBARA,Food & Drink,Sale,-17.00,
12/16/2022,12/18/2022,BLACK MTNBURGER CO,Food & Drink,Sale,-222.49,
12/16/2022,12/16/2022,IC* INSTACART,Groceries,Sale,-29.02,
12/15/2022,12/16/2022,TST* ARTIFACT CIDER PROJE,Food & Drink,Sale,-8.49,
12/15/2022,12/16/2022,TST* ARTIFACT CIDER PROJE,Food & Drink,Sale,-38.24,
12/14/2022,12/16/2022,UNITED      0162452497828,Travel,Sale,-421.95,
12/15/2022,12/16/2022,BROTHERS MARKETPLACE #404,Groceries,Sale,-6.19,
12/14/2022,12/15/2022,TST* ACEITUNA CAFE,Food & Drink,Sale,-13.65,
12/14/2022,12/14/2022,SP THC PROVISIONS,Shopping,Sale,-36.81,
12/14/2022,12/14/2022,Amazon.com*F05YD5XP3,Shopping,Sale,-7.41,
12/12/2022,12/13/2022,TARGET        00032227,Shopping,Sale,-45.34,
12/12/2022,12/13/2022,AMZN Mktp US*ES22A9863,Shopping,Sale,-33.74,
12/11/2022,12/12/2022,TAIWAN CAFE,Food & Drink,Sale,-78.00,
12/12/2022,12/12/2022,AMZN Mktp US*762YY5GP3,Shopping,Sale,-26.55,
12/11/2022,12/11/2022,AUTOMATIC PAYMENT - THANK,,Payment,3377.35,
12/10/2022,12/11/2022,CHIPOTLE 1615,Food & Drink,Sale,-21.56,
12/09/2022,12/11/2022,WWW.PLAYPKL.COM,Entertainment,Sale,-75.00,
12/08/2022,12/11/2022,LOON MOUNTAIN ECOMM,Entertainment,Sale,-345.00,
12/10/2022,12/11/2022,TST* FELIPE'S TAQUERIA,Food & Drink,Sale,-12.56,
12/09/2022,12/11/2022,SUPREME LIQUORS CAMBRIDG,Food & Drink,Sale,-24.63,
12/08/2022,12/09/2022,TST* Yume Ga Arukara- Cam,Food & Drink,Sale,-18.00,
12/08/2022,12/09/2022,TST* ACEITUNA CAFE,Food & Drink,Sale,-13.65,
12/08/2022,12/09/2022,SQ *WINTER HILL BREWING C,Food & Drink,Sale,-9.00,
12/08/2022,12/09/2022,MITMUSEUM.MIT.EDU,Professional Services,Sale,-40.00,
12/07/2022,12/08/2022,PANERA BREAD #202115 P,Food & Drink,Sale,-7.58,
