Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/15/2024,08/16/2024,Zipcar Toll AUG06,Travel,Sale,-2.95,
08/15/2024,08/16/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-15.98,
08/16/2024,08/16/2024,Zipcar Toll AUG06,Travel,Sale,-2.95,
08/15/2024,08/16/2024,BSPT-CAM,Health & Wellness,Sale,-25.00,
08/15/2024,08/15/2024,TST* TATTE BAKERY 3RD,Food & Drink,Sale,-18.72,
08/14/2024,08/15/2024,CVS/PHARMACY #11242,Health & Wellness,Sale,-34.18,
08/14/2024,08/15/2024,CAMBRIDGE HEALTH MYCHART,Health & Wellness,Sale,-121.39,
08/14/2024,08/15/2024,VTG*Elizabeth A. Willems ,Health & Wellness,Return,166.71,
08/14/2024,08/15/2024,VTG*Elizabeth A. Willems ,Health & Wellness,Return,166.71,
08/13/2024,08/14/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-7.43,
08/13/2024,08/14/2024,TARGET        00032227,Shopping,Sale,-29.25,
08/13/2024,08/14/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-15.60,
08/13/2024,08/14/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
08/12/2024,08/13/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-12.86,
08/13/2024,08/13/2024,TST* CASK 'N FLAGON - FEN,Food & Drink,Sale,-21.26,
08/12/2024,08/13/2024,LS CAMBRIDGE SPIRITS,Food & Drink,Sale,-44.99,
08/13/2024,08/13/2024,TST* CASK 'N FLAGON - FEN,Food & Drink,Sale,-101.70,
08/12/2024,08/13/2024,AMK FENWAY PARK CONCES,Food & Drink,Sale,-14.72,
08/11/2024,08/12/2024,SQ *THE ICE CREAM STORE,Food & Drink,Sale,-7.64,
08/10/2024,08/12/2024,SEOUL RESTAURANT,Food & Drink,Sale,-73.28,
08/11/2024,08/12/2024,ROY MOORE LOBSTER CO,Food & Drink,Sale,-98.44,
08/12/2024,08/12/2024,GAMETIME    TICKETS,Entertainment,Sale,-276.00,
08/11/2024,08/12/2024,Town of Rockport  MA,Travel,Sale,-1.35,
08/10/2024,08/11/2024,TST*CAFE LUNA - MAIN STR,Food & Drink,Sale,-99.52,
08/10/2024,08/11/2024,TST* CASK 'N FLAGON - FEN,Food & Drink,Sale,-73.10,
08/09/2024,08/11/2024,AMK FENWAY PARK CONCES,Food & Drink,Sale,-14.72,
08/09/2024,08/11/2024,AMAZON MKTPL*RM97F6N51,Shopping,Sale,-94.56,
08/09/2024,08/11/2024,TST*LAS AMIGAS - NEW,Food & Drink,Sale,-59.04,
