Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/18/2024,06/18/2024,Zipcar Monthly Plan,Travel,Sale,-9.56,
06/17/2024,06/18/2024,TST* HUNSA THAI KITCHEN -,Food & Drink,Sale,-24.51,
06/16/2024,06/17/2024,WAELS MEDITERRANEAN CUISI,Food & Drink,Sale,-20.00,
06/17/2024,06/17/2024,eBay O*17-11699-68982,Shopping,Sale,-3.18,
06/16/2024,06/17/2024,LOWES #00907*,Home,Sale,-269.54,
06/14/2024,06/16/2024,AMK CONC BARS MMP,Food & Drink,Sale,-29.14,
06/13/2024,06/16/2024,ZARA USA 10286,Shopping,Sale,-49.69,
06/14/2024,06/16/2024,MILLER'S CAFE,Food & Drink,Sale,-9.20,
06/14/2024,06/16/2024,AMK MMP TIN2 CONC,Food & Drink,Sale,-11.46,
06/14/2024,06/16/2024,VTG*Elizabeth A. Willems ,Health & Wellness,Sale,-166.71,
06/14/2024,06/14/2024,AMAZON MKTPL*GD7NC67Y3,Shopping,Sale,-46.73,
06/13/2024,06/13/2024,UBER   TRIP,Travel,Sale,-22.03,
06/12/2024,06/13/2024,Amazon.com*GE5635W03,Shopping,Sale,-31.86,
06/12/2024,06/13/2024,Subway 31620,Food & Drink,Sale,-11.76,
06/10/2024,06/12/2024,RED ARROW DINER - CONC,Food & Drink,Sale,-26.25,
06/11/2024,06/12/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-16.75,
06/11/2024,06/12/2024,BIXI MONTREAL,Travel,Sale,-11.71,
06/11/2024,06/12/2024,BIXI MONTREAL,Travel,Sale,-2.34,
06/10/2024,06/11/2024,UBER CANADA/UBERTRIP,Travel,Sale,-12.79,
06/11/2024,06/11/2024,AMZN Mktp US*ON1OP5CF3,Shopping,Sale,-12.45,
06/10/2024,06/11/2024,BOUTIQUE HORS TAXES PH,Shopping,Sale,-1.11,
06/11/2024,06/11/2024,TICKPICK,Entertainment,Sale,-276.04,
06/10/2024,06/11/2024,NEW CITY GAS,Food & Drink,Sale,-60.48,
06/10/2024,06/11/2024,BIXI MONTREAL,Travel,Sale,-2.27,
06/10/2024,06/11/2024,BIXI MONTREAL,Travel,Sale,-2.27,
06/08/2024,06/10/2024,STM BONAVENTURE DIN101,Travel,Sale,-15.56,
06/09/2024,06/10/2024,LIBRAIRIE PULP BOOKS &amp;,Shopping,Sale,-19.18,
06/09/2024,06/10/2024,BOSSA PR T- -MANGER,Groceries,Sale,-15.11,
06/08/2024,06/10/2024,PHARMAPRIX #1800,Health & Wellness,Sale,-1.08,
06/09/2024,06/10/2024,CAFE LILI &amp; OLI,Food & Drink,Sale,-4.84,
06/08/2024,06/10/2024,STM BONAVENTURE DIS101,Travel,Sale,-15.56,
06/09/2024,06/10/2024,CAFE LILI &amp; OLI,Food & Drink,Sale,-4.36,
06/09/2024,06/10/2024,JEAN COUTU  008,Health & Wellness,Sale,-0.67,
06/09/2024,06/10/2024,EPICERIE MOSAIQUE,Groceries,Sale,-4.58,
06/09/2024,06/10/2024,MR DUMPLING,Food & Drink,Sale,-7.74,
06/09/2024,06/10/2024,BARBOSSA,Food & Drink,Sale,-10.25,
06/09/2024,06/10/2024,BARBOSSA,Food & Drink,Sale,-21.89,
06/08/2024,06/09/2024,BLUEBOY YOGURT GLACE AND,Food & Drink,Sale,-5.32,
06/08/2024,06/09/2024,MCDONALD'S F7059,Food & Drink,Sale,-6.00,
06/07/2024,06/09/2024,HUNGRYPANDA US INC,Food & Drink,Sale,-31.02,
