Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/07/2024,07/09/2024,UNITED      0162402876861,Travel,Sale,-143.85,
07/08/2024,07/09/2024,CHIPOTLE 1615,Food & Drink,Sale,-10.81,
07/07/2024,07/09/2024,COMMUTER RAIL SOUTH,Travel,Sale,-8.00,
07/07/2024,07/08/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-27.45,
07/07/2024,07/08/2024,TM TICKETMASTER,Entertainment,Sale,-246.71,
07/07/2024,07/08/2024,TST* TJ'S CANTINA OF PORT,Food & Drink,Sale,-18.98,
07/05/2024,07/07/2024,SQ *YUME GA ARUKARA,Food & Drink,Sale,-16.10,
07/06/2024,07/07/2024,COMMUNITY BOATING INC.,Gifts & Donations,Sale,-440.00,
07/05/2024,07/07/2024,TARGET        00032227,Shopping,Sale,-25.96,
07/04/2024,07/07/2024,THE ENVOY HOTEL FB,Food & Drink,Sale,-29.75,
07/05/2024,07/07/2024,YOTOPIA,Food & Drink,Sale,-1.07,
07/04/2024,07/07/2024,UNION OYSTER HOUSE,Food & Drink,Sale,-62.86,
07/07/2024,07/07/2024,SQ *3RD FLOOR NIGHTCLUB,Food & Drink,Sale,-16.80,
07/04/2024,07/07/2024,THE ENVOY HOTEL FB,Food & Drink,Sale,-24.61,
07/04/2024,07/05/2024,JAMES HOOK &amp; COMPANY LLC,Food & Drink,Sale,-97.30,
07/04/2024,07/05/2024,USAA INSURANCE PAYMENT,Bills & Utilities,Sale,-240.35,
07/04/2024,07/05/2024,Amazon Prime*R78B55A31,Bills & Utilities,Sale,-8.11,
07/04/2024,07/05/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
07/03/2024,07/04/2024,Zipcar Toll JUN28,Travel,Sale,-2.55,
07/03/2024,07/04/2024,TARGET        00032227,Shopping,Sale,-8.94,
07/03/2024,07/04/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
07/04/2024,07/04/2024,Zipcar Toll JUN28,Travel,Sale,-2.55,
07/03/2024,07/04/2024,TST* ROXY'S - AREA 4CADE-,Food & Drink,Sale,-19.52,
07/02/2024,07/03/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
06/30/2024,07/01/2024,CVS/PHARMACY #11242,Health & Wellness,Sale,-13.80,
06/30/2024,07/01/2024,TARGET        00032227,Shopping,Sale,-3.69,
06/30/2024,07/01/2024,AMAZON MKTPL*RC1X67S61,Shopping,Sale,-14.44,
06/29/2024,07/01/2024,TST* GUSTAZO - CUBAN REST,Food & Drink,Sale,-122.60,
06/30/2024,07/01/2024,CVS/PHARMACY #11242,Health & Wellness,Sale,-22.16,
06/30/2024,07/01/2024,WWW.REDBUBBLE.COM,Shopping,Sale,-4.28,
06/30/2024,07/01/2024,AMAZON MKTPL*RC9BS7S22,Shopping,Sale,-13.80,
06/28/2024,06/30/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-2.99,
06/27/2024,06/30/2024,TST* FELIPES TAQUERIA,Food & Drink,Sale,-44.19,
06/29/2024,06/30/2024,Zipcar Extend JUN28,Travel,Sale,-12.26,
06/28/2024,06/30/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
06/29/2024,06/30/2024,Zipcar Trip JUN30,Travel,Sale,-29.52,
06/28/2024,06/30/2024,FLEUR CUISINE HARBORSI,Food & Drink,Sale,-53.50,
06/29/2024,06/30/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-20.79,
06/29/2024,06/30/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-12.79,
06/28/2024,06/30/2024,FLEUR CUISINE HARBORSI,Food & Drink,Sale,-29.68,
06/29/2024,06/30/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
06/28/2024,06/30/2024,TST* FELIPES TAQUERIA,Food & Drink,Sale,-21.25,
06/27/2024,06/28/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-20.77,
06/25/2024,06/27/2024,KENDALL SQ CINEMA 231,Entertainment,Sale,-7.48,
06/26/2024,06/27/2024,CHIPOTLE 1615,Food & Drink,Sale,-10.81,
06/26/2024,06/27/2024,10078 CAVA KENDALL SQR,Food & Drink,Sale,-12.89,
06/26/2024,06/27/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
06/24/2024,06/26/2024,TARGET        00032227,Shopping,Sale,-25.96,
06/24/2024,06/26/2024,ROCKPORT MUSIC,Personal,Sale,-140.00,
06/25/2024,06/25/2024,Zipcar Trip JUN28,Travel,Sale,-138.33,
06/24/2024,06/25/2024,RIVERSIDE RESTAURANT AND,Food & Drink,Sale,-45.33,
06/24/2024,06/25/2024,SQ *BON ME TEST KITCHEN,Food & Drink,Sale,-15.25,
06/24/2024,06/25/2024,Payment Thank You-Mobile,,Payment,6751.97,
06/23/2024,06/24/2024,CHIPOTLE 1615,Food & Drink,Sale,-10.81,
06/23/2024,06/24/2024,CVS/PHARMACY #11242,Health & Wellness,Sale,-12.80,
06/22/2024,06/24/2024,SOJUBA,Food & Drink,Sale,-133.84,
06/23/2024,06/24/2024,TST* BOSTON RAMEN,Food & Drink,Sale,-19.69,
06/23/2024,06/24/2024,UBER   TRIP,Travel,Sale,-7.94,
06/23/2024,06/24/2024,MBTA CHARLES MGH,Travel,Sale,-4.80,
06/23/2024,06/24/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-2.97,
06/22/2024,06/23/2024,UBER   TRIP,Travel,Sale,-25.70,
06/22/2024,06/23/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-9.28,
06/22/2024,06/23/2024,SQ *LAMPLIGHTER BREWING C,Food & Drink,Sale,-43.00,
06/21/2024,06/23/2024,TEXASNEWSST2582,Shopping,Sale,-23.80,
06/20/2024,06/21/2024,Subway 64335,Food & Drink,Sale,-12.72,
