Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/01/2024,10/02/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-11.76,
10/01/2024,10/02/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-15.98,
10/01/2024,10/02/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
10/01/2024,10/02/2024,ALS CAFE &amp;* ALS CAFE &amp;,Food & Drink,Sale,-15.52,
10/01/2024,10/01/2024,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
09/30/2024,10/01/2024,Retail in Motion LTD,Shopping,Sale,-10.08,
09/30/2024,10/01/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-16.75,
09/29/2024,10/01/2024,DUBLIN AIRPORT CAR PAR,Travel,Sale,-22.39,
09/30/2024,10/01/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-4.29,
09/28/2024,09/30/2024,GUINNESS SH,Food & Drink,Sale,-2.79,
09/29/2024,09/30/2024,PLANE WATER,Travel,Sale,-2.24,
09/28/2024,09/30/2024,TEMPLE BAR PUB,Food & Drink,Sale,-32.88,
09/29/2024,09/30/2024,WH Smith Heathrow T5,Shopping,Sale,-14.76,
09/29/2024,09/30/2024,PILOTS BAR &amp; KITCHEN T,Food & Drink,Sale,-81.12,
09/30/2024,09/30/2024,IC* INSTACART,Groceries,Sale,-60.40,
09/27/2024,09/29/2024,DEVITTS OF CAMDEN ST 01,Food & Drink,Sale,-11.65,
09/28/2024,09/29/2024,PHO TA,Food & Drink,Sale,-22.41,
09/29/2024,09/29/2024,MCDONALDS7088,Food & Drink,Sale,-21.74,
09/26/2024,09/29/2024,HAIRY LEMON BAR,Food & Drink,Sale,-114.06,
09/28/2024,09/29/2024,NANDOS CHICKENLAND,Food & Drink,Sale,-16.81,
09/25/2024,09/29/2024,LIME*RIDE WOOU,Travel,Sale,-7.57,
09/26/2024,09/29/2024,TFL TRAVEL CH,Travel,Sale,-4.97,
09/28/2024,09/29/2024,THE TEMPLE BAR TRADING CO,Shopping,Sale,-16.79,
09/27/2024,09/29/2024,DEVITTS OF CAMDEN ST 01,Food & Drink,Sale,-14.77,
09/27/2024,09/29/2024,THE INTERNATIONAL BAR,Food & Drink,Sale,-41.85,
09/27/2024,09/29/2024,DEVITTS OF CAMDEN ST 01,Food & Drink,Sale,-14.77,
09/26/2024,09/29/2024,THE AULD DUBLINER,Food & Drink,Sale,-29.27,
09/26/2024,09/29/2024,THE AULD DUBLINER,Food & Drink,Sale,-39.16,
09/27/2024,09/29/2024,NEON,Food & Drink,Sale,-53.04,
09/26/2024,09/27/2024,AIRBNB * HMWP534JA9,Travel,Return,1186.02,
09/25/2024,09/27/2024,TFL TRAVEL CH,Travel,Sale,-7.25,
09/26/2024,09/27/2024,KSG DUBLIN AIRPORT,Food & Drink,Sale,-21.52,
